Year,Season,Site,Scenario,Habitat
1935,Apr-Jun,Bilwon ROC,PD,18.06
1936,Apr-Jun,Bilwon ROC,PD,14.87
1937,Apr-Jun,Bilwon ROC,PD,14.89
1938,Apr-Jun,Bilwon ROC,PD,19.49
1939,Apr-Jun,Bilwon ROC,PD,22.21
1940,Apr-Jun,Bilwon ROC,PD,20.39
1941,Apr-Jun,Bilwon ROC,PD,13.96
1942,Apr-Jun,Bilwon ROC,PD,17.17
1943,Apr-Jun,Bilwon ROC,PD,14.84
1944,Apr-Jun,Bilwon ROC,PD,18.23
1945,Apr-Jun,Bilwon ROC,PD,17.88
1946,Apr-Jun,Bilwon ROC,PD,12.38
1947,Apr-Jun,Bilwon ROC,PD,12.9
1948,Apr-Jun,Bilwon ROC,PD,13.41
1949,Apr-Jun,Bilwon ROC,PD,15.01
1950,Apr-Jun,Bilwon ROC,PD,18.06
1951,Apr-Jun,Bilwon ROC,PD,12.21
1952,Apr-Jun,Bilwon ROC,PD,16.61
1953,Apr-Jun,Bilwon ROC,PD,14.82
1954,Apr-Jun,Bilwon ROC,PD,17.52
1955,Apr-Jun,Bilwon ROC,PD,16.35
1956,Apr-Jun,Bilwon ROC,PD,16.97
1957,Apr-Jun,Bilwon ROC,PD,19.21
1958,Apr-Jun,Bilwon ROC,PD,19.52
1959,Apr-Jun,Bilwon ROC,PD,16.26
1960,Apr-Jun,Bilwon ROC,PD,12.58
1961,Apr-Jun,Bilwon ROC,PD,18.93
1962,Apr-Jun,Bilwon ROC,PD,15.06
1963,Apr-Jun,Bilwon ROC,PD,17.53
1964,Apr-Jun,Bilwon ROC,PD,18.68
1965,Apr-Jun,Bilwon ROC,PD,12.03
1966,Apr-Jun,Bilwon ROC,PD,19.4
1967,Apr-Jun,Bilwon ROC,PD,16.66
1968,Apr-Jun,Bilwon ROC,PD,12.66
1969,Apr-Jun,Bilwon ROC,PD,12.41
1970,Apr-Jun,Bilwon ROC,PD,15.76
1971,Apr-Jun,Bilwon ROC,PD,19.01
1972,Apr-Jun,Bilwon ROC,PD,16.66
1973,Apr-Jun,Bilwon ROC,PD,22.11
1974,Apr-Jun,Bilwon ROC,PD,19.31
1975,Apr-Jun,Bilwon ROC,PD,17.78
1976,Apr-Jun,Bilwon ROC,PD,17.41
1977,Apr-Jun,Bilwon ROC,PD,11.76
1978,Apr-Jun,Bilwon ROC,PD,21.01
1979,Apr-Jun,Bilwon ROC,PD,13.73
1980,Apr-Jun,Bilwon ROC,PD,18.93
1981,Apr-Jun,Bilwon ROC,PD,16.45
1982,Apr-Jun,Bilwon ROC,PD,13.18
1983,Apr-Jun,Bilwon ROC,PD,12
1984,Apr-Jun,Bilwon ROC,PD,16.35
1985,Apr-Jun,Bilwon ROC,PD,16.25
1986,Apr-Jun,Bilwon ROC,PD,12.33
1987,Apr-Jun,Bilwon ROC,PD,11.21
1988,Apr-Jun,Bilwon ROC,PD,15.31
1989,Apr-Jun,Bilwon ROC,PD,14.12
1990,Apr-Jun,Bilwon ROC,PD,19.77
1991,Apr-Jun,Bilwon ROC,PD,11.29
1992,Apr-Jun,Bilwon ROC,PD,10.48
1993,Apr-Jun,Bilwon ROC,PD,12.23
1994,Apr-Jun,Bilwon ROC,PD,13.44
1995,Apr-Jun,Bilwon ROC,PD,17.02
1996,Apr-Jun,Bilwon ROC,PD,15.64
1997,Apr-Jun,Bilwon ROC,PD,15.12
1998,Apr-Jun,Bilwon ROC,PD,23.57
1999,Apr-Jun,Bilwon ROC,PD,20.84
2000,Apr-Jun,Bilwon ROC,PD,19.34
2001,Apr-Jun,Bilwon ROC,PD,10.69
2002,Apr-Jun,Bilwon ROC,PD,11.31
2003,Apr-Jun,Bilwon ROC,PD,17.23
2004,Apr-Jun,Bilwon ROC,PD,17.43
2005,Apr-Jun,Bilwon ROC,PD,16.33
2006,Apr-Jun,Bilwon ROC,PD,16.1
2007,Apr-Jun,Bilwon ROC,PD,21.67
2008,Apr-Jun,Bilwon ROC,PD,19.85
2009,Apr-Jun,Bilwon ROC,PD,19.03
2010,Apr-Jun,Bilwon ROC,PD,21.65
2011,Apr-Jun,Bilwon ROC,PD,16.38
2012,Apr-Jun,Bilwon ROC,PD,16.96
2013,Apr-Jun,Bilwon ROC,PD,14.97
2014,Apr-Jun,Bilwon ROC,PD,17.46
2015,Apr-Jun,Bilwon ROC,PD,12.18
2016,Apr-Jun,Bilwon ROC,PD,14.11
2017,Apr-Jun,Bilwon ROC,PD,16.74
2018,Apr-Jun,Bilwon ROC,PD,18.32
1889,Apr-Jun,Bilwon ROC,FE,14.3
1890,Apr-Jun,Bilwon ROC,FE,16.9
1891,Apr-Jun,Bilwon ROC,FE,13.51
1892,Apr-Jun,Bilwon ROC,FE,6.71
1893,Apr-Jun,Bilwon ROC,FE,14.53
1894,Apr-Jun,Bilwon ROC,FE,15.96
1895,Apr-Jun,Bilwon ROC,FE,15.19
1896,Apr-Jun,Bilwon ROC,FE,9.14
1897,Apr-Jun,Bilwon ROC,FE,13.24
1898,Apr-Jun,Bilwon ROC,FE,13.91
1899,Apr-Jun,Bilwon ROC,FE,11.85
1900,Apr-Jun,Bilwon ROC,FE,9.64
1901,Apr-Jun,Bilwon ROC,FE,6.99
1902,Apr-Jun,Bilwon ROC,FE,10.16
1903,Apr-Jun,Bilwon ROC,FE,17.51
1904,Apr-Jun,Bilwon ROC,FE,12.55
1905,Apr-Jun,Bilwon ROC,FE,12.46
1906,Apr-Jun,Bilwon ROC,FE,9.77
1907,Apr-Jun,Bilwon ROC,FE,12.91
1908,Apr-Jun,Bilwon ROC,FE,8.23
1909,Apr-Jun,Bilwon ROC,FE,16.52
1910,Apr-Jun,Bilwon ROC,FE,15.15
1911,Apr-Jun,Bilwon ROC,FE,9.88
1912,Apr-Jun,Bilwon ROC,FE,18.86
1913,Apr-Jun,Bilwon ROC,FE,12.03
1914,Apr-Jun,Bilwon ROC,FE,7.54
1915,Apr-Jun,Bilwon ROC,FE,5.09
1916,Apr-Jun,Bilwon ROC,FE,9.19
1917,Apr-Jun,Bilwon ROC,FE,11.73
1918,Apr-Jun,Bilwon ROC,FE,7.47
1919,Apr-Jun,Bilwon ROC,FE,9.18
1920,Apr-Jun,Bilwon ROC,FE,10.73
1921,Apr-Jun,Bilwon ROC,FE,19.74
1922,Apr-Jun,Bilwon ROC,FE,8.36
1923,Apr-Jun,Bilwon ROC,FE,7.12
1924,Apr-Jun,Bilwon ROC,FE,11.41
1925,Apr-Jun,Bilwon ROC,FE,9.39
1926,Apr-Jun,Bilwon ROC,FE,8.41
1927,Apr-Jun,Bilwon ROC,FE,10.58
1928,Apr-Jun,Bilwon ROC,FE,13.59
1929,Apr-Jun,Bilwon ROC,FE,15.92
1930,Apr-Jun,Bilwon ROC,FE,8
1931,Apr-Jun,Bilwon ROC,FE,8.64
1932,Apr-Jun,Bilwon ROC,FE,8.24
1933,Apr-Jun,Bilwon ROC,FE,20.8
1934,Apr-Jun,Bilwon ROC,FE,10.06
1935,Apr-Jun,Bilwon ROC,FE,8.34
1936,Apr-Jun,Bilwon ROC,FE,11.99
1937,Apr-Jun,Bilwon ROC,FE,9.35
1938,Apr-Jun,Bilwon ROC,FE,14.4
1939,Apr-Jun,Bilwon ROC,FE,19.08
1940,Apr-Jun,Bilwon ROC,FE,17.49
1941,Apr-Jun,Bilwon ROC,FE,9.84
1942,Apr-Jun,Bilwon ROC,FE,12.07
1943,Apr-Jun,Bilwon ROC,FE,8.35
1944,Apr-Jun,Bilwon ROC,FE,16.31
1945,Apr-Jun,Bilwon ROC,FE,17.17
1946,Apr-Jun,Bilwon ROC,FE,6.86
1947,Apr-Jun,Bilwon ROC,FE,7.01
1948,Apr-Jun,Bilwon ROC,FE,8.36
1949,Apr-Jun,Bilwon ROC,FE,7.48
1950,Apr-Jun,Bilwon ROC,FE,15.44
1951,Apr-Jun,Bilwon ROC,FE,6.92
1952,Apr-Jun,Bilwon ROC,FE,11.05
1953,Apr-Jun,Bilwon ROC,FE,6.6
1954,Apr-Jun,Bilwon ROC,FE,10.27
1955,Apr-Jun,Bilwon ROC,FE,10.06
1956,Apr-Jun,Bilwon ROC,FE,15.81
1957,Apr-Jun,Bilwon ROC,FE,15.51
1958,Apr-Jun,Bilwon ROC,FE,14.16
1959,Apr-Jun,Bilwon ROC,FE,10.64
1960,Apr-Jun,Bilwon ROC,FE,8.85
1961,Apr-Jun,Bilwon ROC,FE,11.81
1962,Apr-Jun,Bilwon ROC,FE,11.81
1963,Apr-Jun,Bilwon ROC,FE,12.56
1964,Apr-Jun,Bilwon ROC,FE,10.94
1965,Apr-Jun,Bilwon ROC,FE,11.37
1966,Apr-Jun,Bilwon ROC,FE,17.19
1967,Apr-Jun,Bilwon ROC,FE,9.86
1968,Apr-Jun,Bilwon ROC,FE,10.13
1969,Apr-Jun,Bilwon ROC,FE,6.7
1970,Apr-Jun,Bilwon ROC,FE,9.96
1971,Apr-Jun,Bilwon ROC,FE,15.4
1972,Apr-Jun,Bilwon ROC,FE,10.56
1973,Apr-Jun,Bilwon ROC,FE,19.15
1974,Apr-Jun,Bilwon ROC,FE,14.59
1975,Apr-Jun,Bilwon ROC,FE,16.03
1976,Apr-Jun,Bilwon ROC,FE,17.44
1977,Apr-Jun,Bilwon ROC,FE,9.01
1978,Apr-Jun,Bilwon ROC,FE,18.04
1979,Apr-Jun,Bilwon ROC,FE,9.25
1980,Apr-Jun,Bilwon ROC,FE,11.84
1981,Apr-Jun,Bilwon ROC,FE,9.26
1982,Apr-Jun,Bilwon ROC,FE,9.35
1983,Apr-Jun,Bilwon ROC,FE,6.05
1984,Apr-Jun,Bilwon ROC,FE,7.74
1985,Apr-Jun,Bilwon ROC,FE,8
1986,Apr-Jun,Bilwon ROC,FE,6.12
1987,Apr-Jun,Bilwon ROC,FE,4.76
1988,Apr-Jun,Bilwon ROC,FE,9.26
1989,Apr-Jun,Bilwon ROC,FE,9.56
1990,Apr-Jun,Bilwon ROC,FE,19.61
1991,Apr-Jun,Bilwon ROC,FE,6.44
1992,Apr-Jun,Bilwon ROC,FE,4.29
1993,Apr-Jun,Bilwon ROC,FE,6.37
1994,Apr-Jun,Bilwon ROC,FE,7.67
1995,Apr-Jun,Bilwon ROC,FE,7.65
1996,Apr-Jun,Bilwon ROC,FE,8.47
1997,Apr-Jun,Bilwon ROC,FE,7.48
1998,Apr-Jun,Bilwon ROC,FE,20.42
1999,Apr-Jun,Bilwon ROC,FE,19.44
2000,Apr-Jun,Bilwon ROC,FE,19.46
2001,Apr-Jun,Bilwon ROC,FE,9.78
2002,Apr-Jun,Bilwon ROC,FE,6.21
2003,Apr-Jun,Bilwon ROC,FE,10
2004,Apr-Jun,Bilwon ROC,FE,8.95
2005,Apr-Jun,Bilwon ROC,FE,10.49
2006,Apr-Jun,Bilwon ROC,FE,8.93
2007,Apr-Jun,Bilwon ROC,FE,19.94
2008,Apr-Jun,Bilwon ROC,FE,19.36
2009,Apr-Jun,Bilwon ROC,FE,12.03
2010,Apr-Jun,Bilwon ROC,FE,20.08
2011,Apr-Jun,Bilwon ROC,FE,13.52
2012,Apr-Jun,Bilwon ROC,FE,10.76
2013,Apr-Jun,Bilwon ROC,FE,7.13
2014,Apr-Jun,Bilwon ROC,FE,10.33
2015,Apr-Jun,Bilwon ROC,FE,6.47
2016,Apr-Jun,Bilwon ROC,FE,5.14
2017,Apr-Jun,Bilwon ROC,FE,10.5
2018,Apr-Jun,Bilwon ROC,FE,15.49
1889,Apr-Jun,Bilwon SND,PD,11.96
1890,Apr-Jun,Bilwon SND,PD,8.12
1891,Apr-Jun,Bilwon SND,PD,14.05
1892,Apr-Jun,Bilwon SND,PD,26.14
1893,Apr-Jun,Bilwon SND,PD,4.32
1894,Apr-Jun,Bilwon SND,PD,10.95
1895,Apr-Jun,Bilwon SND,PD,10.79
1896,Apr-Jun,Bilwon SND,PD,20.04
1897,Apr-Jun,Bilwon SND,PD,10.1
1898,Apr-Jun,Bilwon SND,PD,11.37
1899,Apr-Jun,Bilwon SND,PD,23.18
1900,Apr-Jun,Bilwon SND,PD,10.99
1901,Apr-Jun,Bilwon SND,PD,26.53
1902,Apr-Jun,Bilwon SND,PD,5.06
1903,Apr-Jun,Bilwon SND,PD,9.42
1904,Apr-Jun,Bilwon SND,PD,23.58
1905,Apr-Jun,Bilwon SND,PD,16.26
1906,Apr-Jun,Bilwon SND,PD,18.19
1907,Apr-Jun,Bilwon SND,PD,13.81
1908,Apr-Jun,Bilwon SND,PD,21.33
1909,Apr-Jun,Bilwon SND,PD,7.55
1910,Apr-Jun,Bilwon SND,PD,6.89
1911,Apr-Jun,Bilwon SND,PD,21.71
1912,Apr-Jun,Bilwon SND,PD,9.95
1913,Apr-Jun,Bilwon SND,PD,11.95
1914,Apr-Jun,Bilwon SND,PD,27.22
1915,Apr-Jun,Bilwon SND,PD,23.99
1916,Apr-Jun,Bilwon SND,PD,16.31
1917,Apr-Jun,Bilwon SND,PD,11.5
1918,Apr-Jun,Bilwon SND,PD,11.79
1919,Apr-Jun,Bilwon SND,PD,14.54
1920,Apr-Jun,Bilwon SND,PD,6.39
1921,Apr-Jun,Bilwon SND,PD,11.35
1922,Apr-Jun,Bilwon SND,PD,18.71
1923,Apr-Jun,Bilwon SND,PD,18.84
1924,Apr-Jun,Bilwon SND,PD,10.87
1925,Apr-Jun,Bilwon SND,PD,21.3
1926,Apr-Jun,Bilwon SND,PD,10.21
1927,Apr-Jun,Bilwon SND,PD,18.69
1928,Apr-Jun,Bilwon SND,PD,13.31
1929,Apr-Jun,Bilwon SND,PD,15.27
1930,Apr-Jun,Bilwon SND,PD,23.14
1931,Apr-Jun,Bilwon SND,PD,17.98
1932,Apr-Jun,Bilwon SND,PD,9.26
1933,Apr-Jun,Bilwon SND,PD,6.42
1934,Apr-Jun,Bilwon SND,PD,14.54
1935,Apr-Jun,Bilwon SND,PD,10.43
1936,Apr-Jun,Bilwon SND,PD,21.05
1937,Apr-Jun,Bilwon SND,PD,24.2
1938,Apr-Jun,Bilwon SND,PD,6.45
1939,Apr-Jun,Bilwon SND,PD,9.6
1940,Apr-Jun,Bilwon SND,PD,6.64
1941,Apr-Jun,Bilwon SND,PD,20.8
1942,Apr-Jun,Bilwon SND,PD,19.15
1943,Apr-Jun,Bilwon SND,PD,20.48
1944,Apr-Jun,Bilwon SND,PD,6.17
1945,Apr-Jun,Bilwon SND,PD,19.26
1946,Apr-Jun,Bilwon SND,PD,20.71
1947,Apr-Jun,Bilwon SND,PD,20.5
1948,Apr-Jun,Bilwon SND,PD,8.25
1949,Apr-Jun,Bilwon SND,PD,6.11
1950,Apr-Jun,Bilwon SND,PD,18.53
1951,Apr-Jun,Bilwon SND,PD,20.22
1952,Apr-Jun,Bilwon SND,PD,12.93
1953,Apr-Jun,Bilwon SND,PD,13.86
1954,Apr-Jun,Bilwon SND,PD,6.11
1955,Apr-Jun,Bilwon SND,PD,9.22
1956,Apr-Jun,Bilwon SND,PD,12.58
1957,Apr-Jun,Bilwon SND,PD,8.79
1958,Apr-Jun,Bilwon SND,PD,9.26
1959,Apr-Jun,Bilwon SND,PD,18.26
1960,Apr-Jun,Bilwon SND,PD,25.36
1961,Apr-Jun,Bilwon SND,PD,17.56
1962,Apr-Jun,Bilwon SND,PD,7.69
1963,Apr-Jun,Bilwon SND,PD,7.27
1964,Apr-Jun,Bilwon SND,PD,8.15
1965,Apr-Jun,Bilwon SND,PD,25.51
1966,Apr-Jun,Bilwon SND,PD,7.44
1967,Apr-Jun,Bilwon SND,PD,15.51
1968,Apr-Jun,Bilwon SND,PD,19.57
1969,Apr-Jun,Bilwon SND,PD,17.47
1970,Apr-Jun,Bilwon SND,PD,10.59
1971,Apr-Jun,Bilwon SND,PD,5.3
1972,Apr-Jun,Bilwon SND,PD,10.24
1973,Apr-Jun,Bilwon SND,PD,8.51
1974,Apr-Jun,Bilwon SND,PD,12.61
1975,Apr-Jun,Bilwon SND,PD,10.91
1976,Apr-Jun,Bilwon SND,PD,5.85
1977,Apr-Jun,Bilwon SND,PD,23.3
1978,Apr-Jun,Bilwon SND,PD,7.08
1979,Apr-Jun,Bilwon SND,PD,17.11
1980,Apr-Jun,Bilwon SND,PD,9.03
1981,Apr-Jun,Bilwon SND,PD,10.61
1982,Apr-Jun,Bilwon SND,PD,9.82
1983,Apr-Jun,Bilwon SND,PD,24.05
1984,Apr-Jun,Bilwon SND,PD,9.4
1985,Apr-Jun,Bilwon SND,PD,11.43
1986,Apr-Jun,Bilwon SND,PD,16.25
1987,Apr-Jun,Bilwon SND,PD,24.72
1988,Apr-Jun,Bilwon SND,PD,4.62
1989,Apr-Jun,Bilwon SND,PD,3.51
1990,Apr-Jun,Bilwon SND,PD,12.68
1991,Apr-Jun,Bilwon SND,PD,23.12
1992,Apr-Jun,Bilwon SND,PD,23.45
1993,Apr-Jun,Bilwon SND,PD,19.64
1994,Apr-Jun,Bilwon SND,PD,19.93
1995,Apr-Jun,Bilwon SND,PD,8.97
1996,Apr-Jun,Bilwon SND,PD,10.1
1997,Apr-Jun,Bilwon SND,PD,19.76
1998,Apr-Jun,Bilwon SND,PD,9.18
1999,Apr-Jun,Bilwon SND,PD,6.35
2000,Apr-Jun,Bilwon SND,PD,12.62
2001,Apr-Jun,Bilwon SND,PD,22.86
2002,Apr-Jun,Bilwon SND,PD,24.96
2003,Apr-Jun,Bilwon SND,PD,9.14
2004,Apr-Jun,Bilwon SND,PD,17.79
2005,Apr-Jun,Bilwon SND,PD,6.44
2006,Apr-Jun,Bilwon SND,PD,18.09
2007,Apr-Jun,Bilwon SND,PD,13.11
2008,Apr-Jun,Bilwon SND,PD,15.28
2009,Apr-Jun,Bilwon SND,PD,14.67
2010,Apr-Jun,Bilwon SND,PD,9.99
2011,Apr-Jun,Bilwon SND,PD,8.77
2012,Apr-Jun,Bilwon SND,PD,11.18
2013,Apr-Jun,Bilwon SND,PD,4.98
2014,Apr-Jun,Bilwon SND,PD,16.76
2015,Apr-Jun,Bilwon SND,PD,19.79
2016,Apr-Jun,Bilwon SND,PD,20.85
2017,Apr-Jun,Bilwon SND,PD,12.68
2018,Apr-Jun,Bilwon SND,PD,7.84
1889,Apr-Jun,Bilwon SND,FE,19.32
1890,Apr-Jun,Bilwon SND,FE,10.1
1891,Apr-Jun,Bilwon SND,FE,18.6
1892,Apr-Jun,Bilwon SND,FE,15.84
1893,Apr-Jun,Bilwon SND,FE,4.27
1894,Apr-Jun,Bilwon SND,FE,13.95
1895,Apr-Jun,Bilwon SND,FE,15.27
1896,Apr-Jun,Bilwon SND,FE,21.82
1897,Apr-Jun,Bilwon SND,FE,20.22
1898,Apr-Jun,Bilwon SND,FE,23.34
1899,Apr-Jun,Bilwon SND,FE,26.79
1900,Apr-Jun,Bilwon SND,FE,22.21
1901,Apr-Jun,Bilwon SND,FE,17.84
1902,Apr-Jun,Bilwon SND,FE,13.53
1903,Apr-Jun,Bilwon SND,FE,9.56
1904,Apr-Jun,Bilwon SND,FE,26.88
1905,Apr-Jun,Bilwon SND,FE,25.53
1906,Apr-Jun,Bilwon SND,FE,23.72
1907,Apr-Jun,Bilwon SND,FE,23.67
1908,Apr-Jun,Bilwon SND,FE,21.59
1909,Apr-Jun,Bilwon SND,FE,10.42
1910,Apr-Jun,Bilwon SND,FE,8.96
1911,Apr-Jun,Bilwon SND,FE,22.87
1912,Apr-Jun,Bilwon SND,FE,11.16
1913,Apr-Jun,Bilwon SND,FE,21.38
1914,Apr-Jun,Bilwon SND,FE,20.44
1915,Apr-Jun,Bilwon SND,FE,12.27
1916,Apr-Jun,Bilwon SND,FE,21.62
1917,Apr-Jun,Bilwon SND,FE,24.56
1918,Apr-Jun,Bilwon SND,FE,17.15
1919,Apr-Jun,Bilwon SND,FE,15.32
1920,Apr-Jun,Bilwon SND,FE,13.56
1921,Apr-Jun,Bilwon SND,FE,13.93
1922,Apr-Jun,Bilwon SND,FE,18.25
1923,Apr-Jun,Bilwon SND,FE,18.05
1924,Apr-Jun,Bilwon SND,FE,18.6
1925,Apr-Jun,Bilwon SND,FE,18.96
1926,Apr-Jun,Bilwon SND,FE,15.88
1927,Apr-Jun,Bilwon SND,FE,23.93
1928,Apr-Jun,Bilwon SND,FE,15.02
1929,Apr-Jun,Bilwon SND,FE,18.29
1930,Apr-Jun,Bilwon SND,FE,19.87
1931,Apr-Jun,Bilwon SND,FE,22.09
1932,Apr-Jun,Bilwon SND,FE,17.93
1933,Apr-Jun,Bilwon SND,FE,8.03
1934,Apr-Jun,Bilwon SND,FE,18.26
1935,Apr-Jun,Bilwon SND,FE,17.66
1936,Apr-Jun,Bilwon SND,FE,24.48
1937,Apr-Jun,Bilwon SND,FE,24.42
1938,Apr-Jun,Bilwon SND,FE,10.04
1939,Apr-Jun,Bilwon SND,FE,11.87
1940,Apr-Jun,Bilwon SND,FE,7.3
1941,Apr-Jun,Bilwon SND,FE,23.98
1942,Apr-Jun,Bilwon SND,FE,25.37
1943,Apr-Jun,Bilwon SND,FE,21.69
1944,Apr-Jun,Bilwon SND,FE,6.78
1945,Apr-Jun,Bilwon SND,FE,18.9
1946,Apr-Jun,Bilwon SND,FE,16.85
1947,Apr-Jun,Bilwon SND,FE,17.22
1948,Apr-Jun,Bilwon SND,FE,16.79
1949,Apr-Jun,Bilwon SND,FE,14.48
1950,Apr-Jun,Bilwon SND,FE,18.61
1951,Apr-Jun,Bilwon SND,FE,17.54
1952,Apr-Jun,Bilwon SND,FE,20.86
1953,Apr-Jun,Bilwon SND,FE,16.42
1954,Apr-Jun,Bilwon SND,FE,17.17
1955,Apr-Jun,Bilwon SND,FE,11.68
1956,Apr-Jun,Bilwon SND,FE,15.47
1957,Apr-Jun,Bilwon SND,FE,13.18
1958,Apr-Jun,Bilwon SND,FE,13.35
1959,Apr-Jun,Bilwon SND,FE,18.63
1960,Apr-Jun,Bilwon SND,FE,22.68
1961,Apr-Jun,Bilwon SND,FE,27.86
1962,Apr-Jun,Bilwon SND,FE,13.28
1963,Apr-Jun,Bilwon SND,FE,13.78
1964,Apr-Jun,Bilwon SND,FE,16.71
1965,Apr-Jun,Bilwon SND,FE,25.56
1966,Apr-Jun,Bilwon SND,FE,11.93
1967,Apr-Jun,Bilwon SND,FE,17.1
1968,Apr-Jun,Bilwon SND,FE,21.43
1969,Apr-Jun,Bilwon SND,FE,15.83
1970,Apr-Jun,Bilwon SND,FE,17.11
1971,Apr-Jun,Bilwon SND,FE,8.92
1972,Apr-Jun,Bilwon SND,FE,13.91
1973,Apr-Jun,Bilwon SND,FE,8.89
1974,Apr-Jun,Bilwon SND,FE,16.46
1975,Apr-Jun,Bilwon SND,FE,12.23
1976,Apr-Jun,Bilwon SND,FE,7.61
1977,Apr-Jun,Bilwon SND,FE,20.49
1978,Apr-Jun,Bilwon SND,FE,10.61
1979,Apr-Jun,Bilwon SND,FE,19.59
1980,Apr-Jun,Bilwon SND,FE,17.46
1981,Apr-Jun,Bilwon SND,FE,14.54
1982,Apr-Jun,Bilwon SND,FE,15.49
1983,Apr-Jun,Bilwon SND,FE,15.27
1984,Apr-Jun,Bilwon SND,FE,14.96
1985,Apr-Jun,Bilwon SND,FE,19.88
1986,Apr-Jun,Bilwon SND,FE,15.95
1987,Apr-Jun,Bilwon SND,FE,11.87
1988,Apr-Jun,Bilwon SND,FE,7.91
1989,Apr-Jun,Bilwon SND,FE,7.76
1990,Apr-Jun,Bilwon SND,FE,18.2
1991,Apr-Jun,Bilwon SND,FE,16.6
1992,Apr-Jun,Bilwon SND,FE,9.51
1993,Apr-Jun,Bilwon SND,FE,16.45
1994,Apr-Jun,Bilwon SND,FE,20.17
1995,Apr-Jun,Bilwon SND,FE,20.68
1996,Apr-Jun,Bilwon SND,FE,21.43
1997,Apr-Jun,Bilwon SND,FE,19.94
1998,Apr-Jun,Bilwon SND,FE,11.56
1999,Apr-Jun,Bilwon SND,FE,10.5
2000,Apr-Jun,Bilwon SND,FE,15.41
2001,Apr-Jun,Bilwon SND,FE,24.75
2002,Apr-Jun,Bilwon SND,FE,16.71
2003,Apr-Jun,Bilwon SND,FE,18.25
2004,Apr-Jun,Bilwon SND,FE,22.46
2005,Apr-Jun,Bilwon SND,FE,10.98
2006,Apr-Jun,Bilwon SND,FE,21.51
2007,Apr-Jun,Bilwon SND,FE,14.8
2008,Apr-Jun,Bilwon SND,FE,18.81
2009,Apr-Jun,Bilwon SND,FE,24.98
2010,Apr-Jun,Bilwon SND,FE,13.26
2011,Apr-Jun,Bilwon SND,FE,13.08
2012,Apr-Jun,Bilwon SND,FE,19.77
2013,Apr-Jun,Bilwon SND,FE,15.13
2014,Apr-Jun,Bilwon SND,FE,22.39
2015,Apr-Jun,Bilwon SND,FE,16.82
2016,Apr-Jun,Bilwon SND,FE,11.5
2017,Apr-Jun,Bilwon SND,FE,21.17
2018,Apr-Jun,Bilwon SND,FE,14.65
1889,Jul-Sep,Picnic Crossing,PD,10.59
1890,Jul-Sep,Picnic Crossing,PD,12.85
1891,Jul-Sep,Picnic Crossing,PD,14.73
1892,Jul-Sep,Picnic Crossing,PD,11.84
1893,Jul-Sep,Picnic Crossing,PD,8.33
1894,Jul-Sep,Picnic Crossing,PD,17.66
1895,Jul-Sep,Picnic Crossing,PD,12.9
1896,Jul-Sep,Picnic Crossing,PD,13.27
1897,Jul-Sep,Picnic Crossing,PD,10.64
1898,Jul-Sep,Picnic Crossing,PD,14.42
1899,Jul-Sep,Picnic Crossing,PD,12.94
1900,Jul-Sep,Picnic Crossing,PD,8.53
1901,Jul-Sep,Picnic Crossing,PD,12.66
1902,Jul-Sep,Picnic Crossing,PD,7.16
1903,Jul-Sep,Picnic Crossing,PD,16.68
1904,Jul-Sep,Picnic Crossing,PD,15.01
1905,Jul-Sep,Picnic Crossing,PD,7.71
1906,Jul-Sep,Picnic Crossing,PD,10.64
1907,Jul-Sep,Picnic Crossing,PD,11.54
1908,Jul-Sep,Picnic Crossing,PD,12.78
1909,Jul-Sep,Picnic Crossing,PD,9
1910,Jul-Sep,Picnic Crossing,PD,15.62
1911,Jul-Sep,Picnic Crossing,PD,16.08
1912,Jul-Sep,Picnic Crossing,PD,10.07
1913,Jul-Sep,Picnic Crossing,PD,13.94
1914,Jul-Sep,Picnic Crossing,PD,12.52
1915,Jul-Sep,Picnic Crossing,PD,6.88
1916,Jul-Sep,Picnic Crossing,PD,7.2
1917,Jul-Sep,Picnic Crossing,PD,11.27
1918,Jul-Sep,Picnic Crossing,PD,13.27
1919,Jul-Sep,Picnic Crossing,PD,11.9
1920,Jul-Sep,Picnic Crossing,PD,10.78
1921,Jul-Sep,Picnic Crossing,PD,13.08
1922,Jul-Sep,Picnic Crossing,PD,12.36
1923,Jul-Sep,Picnic Crossing,PD,10.96
1924,Jul-Sep,Picnic Crossing,PD,11.72
1925,Jul-Sep,Picnic Crossing,PD,13.94
1926,Jul-Sep,Picnic Crossing,PD,10.17
1927,Jul-Sep,Picnic Crossing,PD,14.63
1928,Jul-Sep,Picnic Crossing,PD,11.16
1929,Jul-Sep,Picnic Crossing,PD,13.98
1930,Jul-Sep,Picnic Crossing,PD,11.93
1931,Jul-Sep,Picnic Crossing,PD,7.28
1932,Jul-Sep,Picnic Crossing,PD,12.18
1933,Jul-Sep,Picnic Crossing,PD,16.14
1934,Jul-Sep,Picnic Crossing,PD,15.57
1935,Jul-Sep,Picnic Crossing,PD,11.93
1936,Jul-Sep,Picnic Crossing,PD,16.21
1937,Jul-Sep,Picnic Crossing,PD,8.71
1938,Jul-Sep,Picnic Crossing,PD,9.67
1939,Jul-Sep,Picnic Crossing,PD,13.43
1940,Jul-Sep,Picnic Crossing,PD,16.45
1941,Jul-Sep,Picnic Crossing,PD,18.29
